[2025-05-04 18:31:20.985] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363680985
[2025-05-04 18:31:22.065] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363682065
[2025-05-04 18:35:16.822] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363916822
[2025-05-04 18:35:17.928] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363917928
[2025-05-04 18:35:19.017] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363919017
[2025-05-04 18:35:20.119] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363920119
[2025-05-04 18:35:21.207] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363921207
[2025-05-04 18:35:22.304] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363922304
[2025-05-04 18:42:24.497] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364344497
[2025-05-04 18:42:25.557] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364345557
[2025-05-04 18:42:26.667] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364346666
[2025-05-04 18:42:27.741] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364347741
[2025-05-04 18:42:28.836] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364348836
[2025-05-04 18:42:29.909] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364349909
[2025-05-04 18:42:30.916] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364350916
[2025-05-04 18:42:32.004] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364352004
[2025-05-04 18:42:33.094] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364353094
[2025-05-04 18:42:34.195] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364354195
[2025-05-04 18:42:35.306] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364355306
[2025-05-04 18:42:36.394] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364356394
[2025-05-04 18:42:37.410] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364357410
[2025-05-04 18:42:38.411] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364358411
[2025-05-04 18:42:39.412] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364359412
[2025-05-04 18:42:40.445] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364360445
[2025-05-04 18:42:41.487] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364361487
[2025-05-04 18:42:42.519] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364362519
[2025-05-04 18:42:43.625] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364363625
[2025-05-04 18:42:44.707] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364364707
[2025-05-04 18:42:45.799] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364365798
[2025-05-04 18:42:46.893] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364366893
[2025-05-04 18:42:47.927] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364367927
